date,open,high,low,close,volume
20260605,7537.35986328125,7541.81005859375,7368.6298828125,7383.740234375,5591290000
20260604,7516.5400390625,7598.18994140625,7516.5400390625,7584.31005859375,5398910000
20260603,7605.31005859375,7605.35009765625,7551.22021484375,7553.68017578125,5753860000
20260602,7595.39990234375,7620.89990234375,7582.990234375,7609.77978515625,5904410000
20260601,7582.2900390625,7617.66015625,7562.60986328125,7599.9599609375,6583960000
20260529,7579.330078125,7599.3798828125,7563.5498046875,7580.06005859375,7858290000
20260528,7519.81982421875,7568.72021484375,7508.0400390625,7563.6298828125,5494860000
20260527,7526.009765625,7530.72021484375,7499.72021484375,7520.35986328125,5524250000
20260526,7511.7900390625,7539.08984375,7501.10009765625,7519.1201171875,5496060000
20260522,7468.81982421875,7506.31982421875,7463.2900390625,7473.47021484375,4952440000
20260521,7410.77978515625,7465.9599609375,7389.47998046875,7445.72021484375,5440620000
20260520,7369.18994140625,7435.68994140625,7357.4599609375,7432.97021484375,5384150000
20260519,7375.75,7395.31982421875,7333.68017578125,7353.60986328125,5441140000
20260518,7415.06982421875,7434.06005859375,7353.169921875,7403.0498046875,5489500000
20260515,7445.10986328125,7454.85009765625,7397.5,7408.5,5582070000
20260514,7454.39990234375,7517.1201171875,7454.39990234375,7501.240234375,5267050000
20260513,7409.1201171875,7460.0400390625,7375.1298828125,7444.25,5716600000
20260512,7390.6298828125,7409.56982421875,7338.5400390625,7400.9599609375,5624790000
20260511,7385.31005859375,7428.97021484375,7384.2001953125,7412.83984375,5821910000
20260508,7362.97021484375,7401.5,7362.97021484375,7398.93017578125,5302740000
20260507,7376.77978515625,7385.02001953125,7321.25,7337.10986328125,6237040000
20260506,7294.14013671875,7369.22021484375,7294.14013671875,7365.1201171875,6579640000
20260505,7233.6201171875,7273.259765625,7233.6201171875,7259.22021484375,5279760000
20260504,7228.3798828125,7244.5400390625,7174.1201171875,7200.75,5215480000
20260501,7234.5400390625,7272.52001953125,7229.31982421875,7230.1201171875,4847390000
20260430,7161.75,7219.830078125,7126.14990234375,7209.009765625,5723790000
20260429,7131.60986328125,7145.6298828125,7107.85986328125,7135.9501953125,5123100000
20260428,7133.740234375,7152.52001953125,7115.169921875,7138.7998046875,4900650000
20260427,7152.72021484375,7178.740234375,7146.72021484375,7173.91015625,4783750000
20260424,7136.47998046875,7168.58984375,7112.81982421875,7165.080078125,4608830000
20260423,7118.7998046875,7147.77978515625,7046.5498046875,7108.39990234375,5307260000
20260422,7102.91015625,7138.64013671875,7102.91015625,7137.89990234375,4919460000
20260421,7122.64013671875,7137.27001953125,7050.2001953125,7064.009765625,5160270000
20260420,7117.0498046875,7122.64990234375,7084.41015625,7109.14013671875,4661130000
20260417,7074.5498046875,7147.52001953125,7074.5498046875,7126.06005859375,6145300000
